OSEBuildingID;BuildingType;PrimaryPropertyType;PropertyName;Latitude;Longitude;YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);LargestPropertyUseType;ENERGYSTARScore;SiteEnergyUse(kBtu);SiteEnergyUseWN(kBtu);Electricity(kWh)
1;NonResidential;Hotel;Mayflower park hotel;47.6122;-122.33799;1927;1;12;88434;0;88434;Hotel;60;7226362.5;7456910;1156514.25
2;NonResidential;Hotel;Paramount Hotel;47.61317;-122.33393;1996;1;11;103566;15064;88502;Hotel;61;8387933;8664479;950425.1875
3;NonResidential;Hotel;5673-The Westin Seattle;47.61393;-122.3381;1969;1;41;956110;196718;759392;Hotel;43;72587024;73937112;14515435
5;NonResidential;Hotel;HOTEL MAX;47.61412;-122.33664;1926;1;10;61320;0;61320;Hotel;56;6794584;6946800.5;811525.3125
8;NonResidential;Hotel;WARWICK SEATTLE HOTEL (ID8);47.61375;-122.34047;1980;1;18;175580;62000;113580;Hotel;75;14172606;14656503;1573448.625
9;Nonresidential COS;Other;West Precinct;47.61623;-122.33657;1999;1;2;97288;37198;60090;Police Station;;12086616;12581712;2160443.75
10;NonResidential;Hotel;Camlin;47.6139;-122.33283;1926;1;11;83008;0;83008;Hotel;27;5758795;6062767.5;823919.875
11;NonResidential;Other;Paramount Theatre;47.61327;-122.33136;1926;1;8;102761;0;102761;Other - Entertainment/Public Assembly;;6298131.5;7067881.5;1065842.75
12;NonResidential;Hotel;311wh-Pioneer Square;47.60294;-122.33263;1904;1;15;163984;0;163984;Hotel;43;13723820;14194054;2138897.75
13;Multifamily MR (5-9);Mid-Rise Multifamily;Lyon Building;47.60284;-122.33184;1910;1;6;63712;1496;62216;Multifamily Housing;1;4573777;4807679.5;742091.1875
15;NonResidential;Hotel;Hotel Monaco Seattle;47.60695;-122.33414;1969;1;11;153163;19279;133884;Hotel;30;16016644;16646930;1813489.875
16;NonResidential;Hotel;5679-W Seattle;47.60713;-122.33323;1998;1;25;333176;61161;272015;Hotel;36;26941110;27070114;5299838.5
17;NonResidential;Hotel;Executive Pacific Plaza;47.60699;-122.33346;1928;1;9;65009;0;65009;Hotel;48;6596057.5;6358719.5;393610.6875
18;NonResidential;Hotel;Crowne Plaza Hotel Seattle;47.60809;-122.33212;1980;1;33;315952;57600;258352;Hotel;58;22325364;22524948;4075083
19;NonResidential;Hotel;Hotel Vintage Seattle;47.60755;-122.33244;1922;1;11;92190;25200;66990;Hotel;35;10750010;11179203;1123203.125
21;Nonresidential COS;Other;The Seattle Public Library - Central Library;47.60649;-122.33297;2004;1;11;412000;57000;355000;Library;;18588860;18706912;5231916
22;NonResidential;Other;Downtown Seattle YMCA;47.60546;-122.33279;1930;1;6;103911;0;103911;Fitness Center/Health Club/Gym;;9956396;10192124;1305354.125
23;NonResidential;Hotel;Renaissance Seattle Hotel;47.60681;-122.33078;1983;1;28;416281;85000;331281;Hotel;31;33556756;34351920;6220773
24;NonResidential;Mixed Use Property;The Rainier Club;47.60515;-122.33159;1907;1;5;57452;0;57452;Social/Meeting Hall;;7606084.5;7877219;1103397.125
25;NonResidential;Hotel;Arctic Club Seattle;47.60376;-122.33194;1916;1;10;104352;0;104352;Hotel;39;10154608;10154608;1731644.125
26;NonResidential;Other;King County Courthouse;47.60265;-122.33051;1916;1;10;540360;0;540360;Courthouse;76;44984468;47023088;7138872.5
27;NonResidential;Other;King County Correctional Facility;47.60378;-122.32842;1985;1;19;385274;0;385274;Other;;47859812;49539212;5351014.5
28;SPS-District K-12;K-12 School;Graham Hill Elementary;47.54576;-122.26853;1961;1;2;56228;0;56228;K-12 School;95;1539478.5;1713623.5;274605.9063
29;NonResidential;Hotel;WATERTOWN HOTEL;47.65959;-122.31755;2001;1;6;88592;30586;58006;Hotel;84;3663534.5;3673186.75;664194.375
30;NonResidential;University;Main Campus Center;47.61816;-122.33629;1928;1;7;126593;0;126593;College/University;;11343686;12183313;1362096.75
31;NonResidential;Other;Seattle Honda;47.615;-122.33081;1930;1;2;67224;0;67224;Automobile Dealership;;1310236.625;1310236.625;384008.3125
32;NonResidential;Hotel;Homewood Suites;47.61301;-122.32929;1991;1;8;158676;30301;128375;Hotel;;5328051.5;5424942;167733.5
33;NonResidential;Hotel;Marriott Springhill Suites (33);47.61784;-122.32966;2001;1;10;171866;38281;133585;Hotel;57;11061916;11171407;1644403.75
34;SPS-District K-12;K-12 School;Meany Building;47.62266;-122.30547;1955;1;1;126351;0;126351;K-12 School;;0;0;0
35;NonResidential;Hotel;Hotel Five;47.61558;-122.34186;1978;1;5;68410;16200;52210;Hotel;57;4456714.5;4557974;687675.625
36;SPS-District K-12;K-12 School;Jane Addams Middle;47.70994;-122.29301;1949;1;2;160645;0;160645;K-12 School;75;6779173;7800349.5;570809.1875
37;SPS-District K-12;K-12 School;John Hay Elementary;47.6329;-122.35172;1989;1;2;51582;0;51582;K-12 School;;0;0;438691.6875
38;NonResidential;Small- and Mid-Sized Office;Good Shepherd Center;47.6641;-122.33118;1906;1;3;87262;0;87262;Office;;4145920.5;4703690;396495.6875
40;NonResidential;Hotel;Silver Cloud University;47.66583;-122.29965;1994;1;4;81871;0;81871;Hotel;29;6668568.5;6731281.5;884056
41;NonResidential;Self-Storage Facility;08781-University Village;47.66172;-122.29598;1955;1;2;110356;0;110356;Self-Storage Facility;;318364.8125;326223.0938;82434
43;Campus;Mixed Use Property;Plant 2 Site;47.53493;-122.31788;1992;1;3;494835;0;494835;Office;8;448385312;471613856;44102076
46;NonResidential;Warehouse;Seattle 11-13;47.51138;-122.28875;1961;3;2;714095;0;714095;Non-Refrigerated Warehouse;;44731160;44110016;13109951
50;SPS-District K-12;K-12 School;Lawton Elementary;47.65671;-122.39047;1990;1;2;54986;0;54986;K-12 School;97;1650279.25;1802471.375;356855
51;SPS-District K-12;K-12 School;Eckstein Middle;47.68252;-122.29498;1950;1;2;175565;0;175565;K-12 School;88;6399127.5;7329817.5;468840.5
52;NonResidential;Small- and Mid-Sized Office;SBC52;47.66587;-122.38476;1961;1;2;94900;0;94900;Office;57;6186461.5;6536359.5;1257791.75
53;NonResidential;Small- and Mid-Sized Office;El Centro de la Raza;47.58034;-122.31132;1900;1;2;52554;0;52554;Office;83;2951331.25;3150635.5;462998
54;NonResidential;K-12 School;Blanchet High School;47.68891;-122.33553;1954;1;3;175015;0;175015;K-12 School;95;6994740.5;7886505.5;785386.6875
55;NonResidential;Self-Storage Facility;Vine Street;47.61351;-122.35129;1911;1;3;70586;0;70586;Self-Storage Facility;;2158629;2331573.25;439691.9063
56;NonResidential;Hotel;Seattle Hilton Hotel;47.60946;-122.33337;1969;1;24;332210;205970;126240;Hotel;67;16163194;16163194;3576906.75
57;NonResidential;Large Office;5th and Pine;47.6113;-122.33659;1973;1;5;168115;0;168115;Office;78;9536161;9536161;2794888.75
58;NonResidential;Other;1525 4th Avenue;47.61076;-122.33765;1920;1;2;57428;0;57428;Other - Mall;;1247362;1239429.75;209536.5938
59;NonResidential;Small- and Mid-Sized Office;Gibraltar Tower;47.61048;-122.33794;1910;1;8;59400;0;59400;Office;14;5071974;5242479.5;1486510.375
60;NonResidential;Mixed Use Property;Mann Building;47.60886;-122.33744;1926;1;2;52549;0;52549;Other - Entertainment/Public Assembly;;15026196;15683742;1357696.125
62;NonResidential;Hotel;Roosevelt Hotel;47.61233;-122.33432;1930;1;20;98634;10043;88591;Hotel;71;4841347.5;5078816;1257344.25
63;NonResidential;Hotel;Sheraton Seattle Hotel;47.61087;-122.33339;1982;1;34;994212;146694;847518;Hotel;63;80469216;82318072;13348631
65;NonResidential;Hotel;Inn at the Market;47.60997;-122.34138;1985;1;7;71150;0;71150;Hotel;98;5348309;5348309;950732.8125
66;NonResidential;Hotel;Moore Hotel INC;47.61155;-122.34114;1908;1;7;122810;0;122810;Hotel;99;5401277.5;6088417.5;379121.0938
67;NonResidential;Hotel;QUALITY INN;47.61986;-122.34413;1959;1;5;113173;42546;70627;Hotel;86;5284343.5;5428403.5;863036.3125
